Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths,Houve_mortes,Percentual_vacinado
2021-01-19,BR,Brazil,AMRO,33040,8488099,551,209847,S,.01
2021-01-20,BR,Brazil,AMRO,23671,8511770,452,210299,S,.06
2021-01-21,BR,Brazil,AMRO,62094,8573864,1192,211491,S,.13
2021-01-22,BR,Brazil,AMRO,64385,8638249,1340,212831,S,.29
2021-01-23,BR,Brazil,AMRO,59119,8697368,1316,214147,S,.35
2021-01-24,BR,Brazil,AMRO,56552,8753920,1096,215243,S,.37
2021-01-25,BR,Brazil,AMRO,62334,8816254,1202,216445,S,.47
2021-01-26,BR,Brazil,AMRO,28323,8844577,592,217037,S,.59
2021-01-27,BR,Brazil,AMRO,26816,8871393,627,217664,S,.74
2021-01-28,BR,Brazil,AMRO,61963,8933356,1214,218878,S,.86
2021-01-29,BR,Brazil,AMRO,63520,8996876,1283,220161,S,1.04
2021-01-30,BR,Brazil,AMRO,61811,9058687,1386,221547,S,1.1
2021-01-31,BR,Brazil,AMRO,59826,9118513,1119,222666,S,1.11
2021-02-01,BR,Brazil,AMRO,58462,9176975,1279,223945,S,1.21
2021-02-02,BR,Brazil,AMRO,27756,9204731,559,224504,S,1.32
2021-02-03,BR,Brazil,AMRO,24591,9229322,595,225099,S,1.45
2021-02-04,BR,Brazil,AMRO,54096,9283418,1210,226309,S,1.6
2021-02-05,BR,Brazil,AMRO,56002,9339420,1254,227563,S,1.76
2021-02-06,BR,Brazil,AMRO,56873,9396293,1232,228795,S,1.82
2021-02-07,BR,Brazil,AMRO,50872,9447165,1239,230034,S,1.84
2021-02-08,BR,Brazil,AMRO,50630,9497795,978,231012,S,1.94
2021-02-09,BR,Brazil,AMRO,26845,9524640,522,231534,S,2.06
2021-02-10,BR,Brazil,AMRO,23439,9548079,636,232170,S,2.17
2021-02-11,BR,Brazil,AMRO,51486,9599565,1350,233520,S,2.27
2021-02-12,BR,Brazil,AMRO,59602,9659167,1330,234850,S,2.42
2021-02-13,BR,Brazil,AMRO,54742,9713909,1351,236201,S,2.46
2021-02-14,BR,Brazil,AMRO,51546,9765455,1288,237489,S,2.47
2021-02-15,BR,Brazil,AMRO,44299,9809754,1043,238532,S,2.56
2021-02-16,BR,Brazil,AMRO,24759,9834513,713,239245,S,2.63
2021-02-17,BR,Brazil,AMRO,32197,9866710,528,239773,S,2.7
2021-02-18,BR,Brazil,AMRO,55271,9921981,1167,240940,S,2.76
2021-02-19,BR,Brazil,AMRO,56766,9978747,1150,242090,S,2.81
2021-02-20,BR,Brazil,AMRO,51879,10030626,1367,243457,S,2.84
2021-02-21,BR,Brazil,AMRO,51050,10081676,1308,244765,S,2.86
2021-02-22,BR,Brazil,AMRO,57472,10139148,1212,245977,S,2.91
2021-02-23,BR,Brazil,AMRO,29026,10168174,527,246504,S,2.96
2021-02-24,BR,Brazil,AMRO,26986,10195160,639,247143,S,3
2021-02-25,BR,Brazil,AMRO,62715,10257875,1386,248529,S,3.06
2021-02-26,BR,Brazil,AMRO,66588,10324463,1428,249957,S,3.1
2021-02-27,BR,Brazil,AMRO,65998,10390461,1541,251498,S,3.16
2021-02-28,BR,Brazil,AMRO,65169,10455630,1337,252835,S,3.17
2021-03-01,BR,Brazil,AMRO,61602,10517232,1386,254221,S,3.33
2021-03-02,BR,Brazil,AMRO,34027,10551259,721,254942,S,3.47
2021-03-03,BR,Brazil,AMRO,35742,10587001,778,255720,S,3.65
2021-03-04,BR,Brazil,AMRO,59925,10646926,1641,257361,S,3.77
2021-03-05,BR,Brazil,AMRO,71704,10718630,1910,259271,S,3.88
2021-03-06,BR,Brazil,AMRO,75102,10793732,1699,260970,S,3.97
2021-03-07,BR,Brazil,AMRO,75495,10869227,1800,262770,S,4.01
2021-03-08,BR,Brazil,AMRO,69609,10938836,1555,264325,S,4.14
2021-03-09,BR,Brazil,AMRO,80508,11019344,1086,265411,S,4.25
2021-03-10,BR,Brazil,AMRO,32321,11051665,987,266398,S,4.36
2021-03-11,BR,Brazil,AMRO,70764,11122429,1972,268370,S,4.49
2021-03-12,BR,Brazil,AMRO,79876,11202305,2286,270656,S,4.6
2021-03-13,BR,Brazil,AMRO,75412,11277717,2233,272889,S,4.66
2021-03-14,BR,Brazil,AMRO,85663,11363380,2216,275105,S,4.68
2021-03-15,BR,Brazil,AMRO,76178,11439558,1997,277102,S,4.88
2021-03-16,BR,Brazil,AMRO,43812,11483370,1127,278229,S,5.03
2021-03-17,BR,Brazil,AMRO,36239,11519609,1057,279286,S,5.17
2021-03-18,BR,Brazil,AMRO,83926,11603535,2841,282127,S,5.32
2021-03-19,BR,Brazil,AMRO,90303,11693838,2648,284775,S,5.59
2021-03-20,BR,Brazil,AMRO,86982,11780820,2724,287499,S,5.7
2021-03-21,BR,Brazil,AMRO,90570,11871390,2815,290314,S,5.73
2021-03-22,BR,Brazil,AMRO,79069,11950459,2438,292752,S,5.96
2021-03-23,BR,Brazil,AMRO,47774,11998233,1290,294042,S,6.18
2021-03-24,BR,Brazil,AMRO,49293,12047526,1383,295425,S,6.47
2021-03-25,BR,Brazil,AMRO,82493,12130019,3251,298676,S,6.81
2021-03-26,BR,Brazil,AMRO,89992,12220011,2009,300685,S,7.24
2021-03-27,BR,Brazil,AMRO,100158,12320169,2777,303462,S,7.41
2021-03-28,BR,Brazil,AMRO,84245,12404414,3650,307112,S,7.52
2021-03-29,BR,Brazil,AMRO,85948,12490362,3438,310550,S,7.88
2021-03-30,BR,Brazil,AMRO,44326,12534688,1656,312206,S,8.17
